Country,Year,Age,AgeTo,Schooling,Primary,Primary,Secondary,Secondary,Tertiary,Tertiary,Avg. Years,Avg. Years Primary, Avg. Years Secondary,Avg. Years Tertiary,Populaition,Region 
,1985,25,29,0.1,19.0,16.1,60.5,46.7,20.4,12.7,10.76,7.88,2.22,0.66,305,Europe and Central Asia
,1985,30,34,0.1,28.7,24.6,49.4,35.3,21.7,13.6,10.45,7.83,1.92,0.71,323,Europe and Central Asia
,1985,35,39,0.1,38.2,32.7,43.3,29.1,18.4,11.5,8.30,3.89,3.82,0.60,336,Europe and Central Asia
,1985,40,44,0.1,38.6,31.5,43.9,23.2,17.4,10.8,9.72,3.85,5.30,0.56,281,Europe and Central Asia
,1985,45,49,0.7,36.1,29.4,43.4,20.7,19.8,12.3,9.89,3.84,5.41,0.64,280,Europe and Central Asia
,1985,50,54,9.0,46.3,31.5,33.0,13.2,11.7,7.3,7.40,3.34,3.68,0.38,314,Europe and Central Asia
,1985,55,59,6.4,68.4,46.4,18.3,6.8,6.9,4.3,5.59,3.30,2.06,0.22,303,Europe and Central Asia
,1985,60,64,7.2,77.2,37.0,11.4,4.0,4.2,2.6,4.30,2.91,1.26,0.13,288,Europe and Central Asia
,1985,65,69,11.5,76.8,36.5,8.6,2.4,3.1,2.2,3.75,2.73,0.92,0.10,160,Europe and Central Asia
,1985,70,74,11.5,76.6,36.4,8.8,2.2,3.1,2.2,3.77,2.74,0.92,0.11,177,Europe and Central Asia
,1985,75,+,31.0,57.0,25.4,9.0,1.9,3.1,2.0,3.15,2.13,0.92,0.10,222,Europe and Central Asia
,1985,25,+,6.0,48.5,34.0,32.6,15.8,12.9,8.1,7.77,4.20,3.15,0.42,2989,Europe and Central Asia
,1985,15,+,5.5,44.4,32.4,37.2,18.0,13.0,7.1,8.23,4.75,3.08,0.40,3580,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1990,15,19,2.0,68.5,62.4,29.3,5.5,0.1,0.0,5.14,3.79,1.35,0.00,313,Europe and Central Asia
,1990,20,24,1.6,18.9,15.9,69.6,55.2,9.8,2.9,10.16,7.74,2.17,0.25,287,Europe and Central Asia
,1990,25,29,1.5,19.2,16.2,56.3,44.6,22.8,14.2,10.68,7.74,2.20,0.74,287,Europe and Central Asia
,1990,30,34,1.5,19.2,16.2,56.3,43.5,22.8,14.2,10.66,7.74,2.18,0.74,302,Europe and Central Asia
,1990,35,39,1.7,26.5,22.6,47.9,34.2,23.8,14.8,10.42,7.70,1.95,0.77,313,Europe and Central Asia
,1990,40,44,1.7,26.5,22.6,47.9,32.2,23.8,14.8,9.09,3.85,4.47,0.77,321,Europe and Central Asia
,1990,45,49,3.4,43.4,35.5,35.2,18.6,17.8,11.1,8.91,3.70,4.64,0.58,267,Europe and Central Asia
,1990,50,54,3.4,43.4,35.5,35.2,16.8,17.8,11.1,8.84,3.70,4.56,0.58,262,Europe and Central Asia
,1990,55,59,7.1,60.1,41.1,23.6,9.5,9.2,5.7,6.35,3.34,2.71,0.30,289,Europe and Central Asia
,1990,60,64,7.1,60.1,41.1,23.6,8.9,9.2,5.7,6.33,3.34,2.69,0.30,278,Europe and Central Asia
,1990,65,69,15.3,69.7,33.5,10.9,3.2,4.1,2.5,3.99,2.66,1.19,0.13,258,Europe and Central Asia
,1990,70,74,15.3,69.7,33.5,10.9,2.9,4.1,2.9,3.99,2.66,1.18,0.14,133,Europe and Central Asia
,1990,75,+,15.3,69.7,33.5,10.9,2.5,4.1,2.8,3.96,2.66,1.16,0.14,245,Europe and Central Asia
,1990,25,+,6.2,44.6,29.8,33.9,17.8,15.2,9.5,8.19,4.51,3.19,0.49,2955,Europe and Central Asia
,1990,15,+,5.2,44.0,33.3,37.0,19.2,13.7,7.6,8.26,4.77,3.07,0.42,3555,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1995,15,19,3.3,71.7,66.1,21.5,3.9,3.6,0.0,8.07,7.52,0.49,0.07,295,Europe and Central Asia
,1995,20,24,1.2,19.7,17.3,48.1,36.9,31.1,9.3,9.92,3.91,5.21,0.81,285,Europe and Central Asia
,1995,25,29,1.3,18.6,15.6,61.8,49.0,18.2,11.4,10.58,7.78,2.21,0.59,264,Europe and Central Asia
,1995,30,34,1.2,19.0,16.0,55.8,44.2,24.0,15.0,10.78,7.78,2.22,0.78,268,Europe and Central Asia
,1995,35,39,1.2,19.6,16.4,54.4,42.0,24.9,15.5,10.77,7.78,2.19,0.81,290,Europe and Central Asia
,1995,40,44,1.3,25.9,22.0,47.7,34.0,25.2,15.7,10.54,7.74,1.98,0.82,305,Europe and Central Asia
,1995,45,49,1.4,28.6,24.5,47.7,32.1,22.3,13.9,8.94,3.86,4.35,0.72,307,Europe and Central Asia
,1995,50,54,2.5,44.2,36.3,34.9,18.5,18.5,11.5,9.03,3.74,4.68,0.60,256,Europe and Central Asia
,1995,55,59,2.7,48.1,37.3,33.0,15.8,16.2,10.1,8.43,3.68,4.23,0.53,255,Europe and Central Asia
,1995,60,64,5.1,61.5,41.8,24.3,9.7,9.2,5.7,6.46,3.40,2.76,0.30,278,Europe and Central Asia
,1995,65,69,5.5,65.1,40.1,21.3,7.2,8.1,5.1,5.93,3.28,2.38,0.26,256,Europe and Central Asia
,1995,70,74,12.7,71.9,35.1,11.3,3.2,4.2,2.6,4.11,2.76,1.22,0.14,221,Europe and Central Asia
,1995,75,+,12.7,71.9,33.6,11.3,2.7,4.2,2.9,4.07,2.73,1.20,0.14,227,Europe and Central Asia
,1995,25,+,4.0,41.6,31.0,37.9,21.2,16.5,10.3,8.87,5.03,3.30,0.54,2927,Europe and Central Asia
,1995,15,+,3.7,42.4,32.7,37.3,20.4,16.6,9.1,8.76,5.14,3.10,0.51,3507,Europe and Central Asia
,,,,,,,,,,,,,,,,
,2000,15,19,3.1,72.4,62.4,24.6,4.4,0.0,0.0,7.94,7.36,0.58,0.00,266,Europe and Central Asia
,2000,20,24,1.6,20.6,15.6,65.3,48.8,12.6,3.8,10.09,7.67,2.09,0.33,292,Europe and Central Asia
,2000,25,29,1.2,19.7,16.3,48.1,36.9,31.1,19.4,10.10,3.89,5.21,1.01,283,Europe and Central Asia
,2000,30,34,0.9,18.3,15.3,52.3,41.5,28.5,17.8,10.99,7.81,2.26,0.93,261,Europe and Central Asia
,2000,35,39,0.8,18.7,15.7,55.1,43.6,25.4,15.8,10.88,7.82,2.24,0.82,266,Europe and Central Asia
,2000,40,44,0.8,19.9,16.6,51.9,40.1,27.3,17.0,10.89,7.80,2.20,0.89,287,Europe and Central Asia
,2000,45,49,0.8,25.1,21.3,47.4,33.8,26.8,16.7,10.67,7.78,2.02,0.87,300,Europe and Central Asia
,2000,50,54,1.0,31.2,26.7,47.4,31.9,20.5,12.8,8.74,3.87,4.21,0.66,300,Europe and Central Asia
,2000,55,59,1.4,45.0,37.0,34.4,18.2,19.3,12.0,9.14,3.79,4.72,0.63,247,Europe and Central Asia
,2000,60,64,1.9,53.7,40.7,30.2,14.4,14.2,8.8,7.93,3.66,3.81,0.46,242,Europe and Central Asia
,2000,65,69,2.7,63.2,42.9,25.1,10.0,9.2,5.7,6.61,3.49,2.82,0.30,255,Europe and Central Asia
,2000,70,74,3.4,69.3,40.7,20.0,6.7,7.4,4.6,5.73,3.29,2.20,0.24,220,Europe and Central Asia
,2000,75,+,9.6,74.7,36.7,11.5,3.2,4.2,2.8,4.23,2.86,1.24,0.14,276,Europe and Central Asia
,2000,25,+,1.5,39.2,25.4,39.3,23.7,19.9,12.5,9.25,5.05,3.55,0.65,2937,Europe and Central Asia
,2000,15,+,1.6,40.2,29.4,40.4,23.5,17.9,9.9,9.22,5.50,3.17,0.56,3495,Europe and Central Asia
,,,,,,,,,,,,,,,,
,2005,15,19,2.4,38.9,38.9,58.6,10.6,0.1,0.0,9.20,7.81,1.39,0.00,253,Europe and Central Asia
,2005,20,24,3.5,4.7,4.7,53.0,40.4,38.8,11.6,12.14,7.72,3.42,1.01,264,Europe and Central Asia
,2005,25,29,1.9,13.2,10.0,59.7,44.6,25.2,15.7,10.85,7.72,2.32,0.82,290,Europe and Central Asia
,2005,30,34,1.5,12.1,10.0,52.7,40.4,33.7,21.0,10.68,3.90,5.68,1.09,280,Europe and Central Asia
,2005,35,39,1.3,11.3,9.4,57.3,45.4,30.2,18.8,11.25,7.83,2.45,0.98,258,Europe and Central Asia
,2005,40,44,1.2,11.5,9.7,60.8,48.2,26.5,16.5,11.12,7.83,2.43,0.86,262,Europe and Central Asia
,2005,45,49,1.2,12.4,10.3,58.5,45.2,27.9,17.4,11.12,7.82,2.39,0.91,282,Europe and Central Asia
,2005,50,54,1.2,15.4,13.1,56.5,40.3,26.9,16.8,10.94,7.81,2.26,0.87,293,Europe and Central Asia
,2005,55,59,1.5,19.0,16.3,59.0,39.7,20.5,12.8,9.44,3.89,4.89,0.66,290,Europe and Central Asia
,2005,60,64,2.1,27.9,23.0,50.6,26.8,19.4,12.1,10.49,3.82,6.04,0.63,235,Europe and Central Asia
,2005,65,69,3.2,35.0,26.5,47.4,22.7,14.5,9.0,9.37,3.70,5.20,0.47,223,Europe and Central Asia
,2005,70,74,4.3,43.7,29.7,42.6,17.1,9.4,5.9,8.03,3.55,4.18,0.31,221,Europe and Central Asia
,2005,75,+,6.6,49.1,26.2,36.9,12.4,7.4,4.7,6.96,3.28,3.45,0.24,318,Europe and Central Asia
,2005,25,+,2.4,22.5,17.5,53.0,34.0,22.2,13.8,10.41,5.59,4.10,0.72,2952,Europe and Central Asia
,2005,15,+,2.5,22.3,18.1,53.4,33.0,21.8,12.2,10.44,5.91,3.85,0.68,3469,Europe and Central Asia
,,,,,,,,,,,,,,,,
,2010,15,19,3.2,7.7,7.7,89.1,18.2,0.0,0.0,7.98,3.87,4.11,0.00,196,Europe and Central Asia
,2010,20,24,3.4,4.5,4.5,78.7,67.5,13.5,4.0,11.54,7.73,3.46,0.35,251,Europe and Central Asia
,2010,25,29,3.5,4.7,4.7,53.0,40.4,38.8,24.2,12.40,7.72,3.42,1.26,262,Europe and Central Asia
,2010,30,34,2.4,4.2,3.2,52.9,39.5,40.6,25.3,11.69,7.77,2.60,1.32,287,Europe and Central Asia
,2010,35,39,1.9,2.9,2.4,58.4,44.7,36.9,23.0,11.37,3.92,6.26,1.20,277,Europe and Central Asia
,2010,40,44,1.7,2.7,2.3,63.3,50.2,32.3,20.1,11.57,7.85,2.67,1.05,255,Europe and Central Asia
,2010,45,49,1.6,2.7,2.3,67.8,53.7,27.9,17.4,11.42,7.85,2.66,0.91,258,Europe and Central Asia
,2010,50,54,1.7,3.1,2.6,66.6,51.4,28.6,17.8,11.40,7.84,2.63,0.93,275,Europe and Central Asia
,2010,55,59,1.7,3.7,3.1,67.6,48.3,27.1,16.9,11.27,7.84,2.55,0.88,284,Europe and Central Asia
,2010,60,64,2.1,4.2,3.6,73.2,49.3,20.4,12.7,10.28,3.90,5.72,0.66,276,Europe and Central Asia
,2010,65,69,3.1,7.2,5.9,70.3,37.2,19.5,12.1,12.14,3.85,7.66,0.63,217,Europe and Central Asia
,2010,70,74,4.3,11.1,8.4,69.5,33.2,15.1,9.4,11.27,3.77,7.00,0.49,195,Europe and Central Asia
,2010,75,+,6.1,21.1,12.5,63.6,25.5,9.3,5.8,9.65,3.59,5.76,0.30,346,Europe and Central Asia
,2010,25,+,2.8,6.6,5.3,64.2,42.7,26.4,16.5,11.44,6.00,4.58,0.86,2932,Europe and Central Asia
,2010,15,+,2.9,6.6,5.5,66.6,43.0,24.0,13.6,11.24,6.00,4.49,0.75,3379,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Croatia,1950,15,19,29.5,70.5,68.1,0.0,0.0,0.0,0.0,5.55,5.54,0.00,0.00,181,Europe and Central Asia
,1950,20,24,23.6,61.8,49.2,12.8,4.3,1.8,0.7,6.07,5.61,0.41,0.05,178,Europe and Central Asia
,1950,25,29,33.7,55.9,44.3,9.3,3.0,1.1,0.6,5.16,4.84,0.29,0.03,170,Europe and Central Asia
,1950,30,34,34.1,56.4,46.3,8.6,2.6,1.0,0.6,5.17,4.87,0.26,0.03,109,Europe and Central Asia
,1950,35,39,34.4,56.9,50.0,7.8,2.2,0.9,0.6,5.24,4.97,0.24,0.03,137,Europe and Central Asia
,1950,40,44,40.4,49.4,43.4,9.2,2.5,1.0,0.6,4.83,4.52,0.27,0.03,150,Europe and Central Asia
,1950,45,49,41.1,49.1,45.8,8.7,2.2,0.9,0.6,4.85,4.56,0.25,0.03,132,Europe and Central Asia
,1950,50,54,45.0,47.2,44.0,6.9,1.7,0.8,0.5,4.50,4.27,0.21,0.03,115,Europe and Central Asia
,1950,55,59,43.9,48.1,46.3,7.2,1.5,0.8,0.5,4.65,4.42,0.21,0.03,86,Europe and Central Asia
,1950,60,64,47.8,46.0,44.3,5.6,1.2,0.6,0.3,4.28,4.10,0.16,0.02,76,Europe and Central Asia
,1950,65,69,56.5,38.8,35.3,4.4,0.7,0.4,0.2,3.47,3.34,0.12,0.01,62,Europe and Central Asia
,1950,70,74,56.7,38.6,35.2,4.4,0.7,0.3,0.2,3.45,3.33,0.11,0.01,48,Europe and Central Asia
,1950,75,+,56.7,38.6,31.2,4.4,0.5,0.3,0.2,3.29,3.17,0.11,0.01,64,Europe and Central Asia
,1950,25,+,41.8,49.7,43.9,7.6,1.9,0.8,0.5,4.67,4.42,0.22,0.03,1149,Europe and Central Asia
,1950,15,+,38.2,53.6,47.3,7.3,1.9,0.9,0.5,4.93,4.69,0.22,0.03,1508,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1955,15,19,27.3,72.6,70.5,0.0,0.0,0.0,0.0,5.73,5.73,0.00,0.00,165,Europe and Central Asia
,1955,20,24,24.2,57.6,46.1,16.1,5.5,2.1,0.8,6.18,5.60,0.52,0.06,177,Europe and Central Asia
,1955,25,29,23.6,61.8,49.2,12.8,4.3,1.8,1.0,6.08,5.61,0.41,0.06,175,Europe and Central Asia
,1955,30,34,33.7,55.9,46.1,9.3,2.9,1.1,0.6,5.23,4.91,0.29,0.03,166,Europe and Central Asia
,1955,35,39,34.1,56.4,49.8,8.6,2.4,1.0,0.6,5.30,5.01,0.26,0.03,106,Europe and Central Asia
,1955,40,44,34.4,56.9,50.2,7.8,2.2,0.9,0.6,5.25,4.98,0.24,0.03,132,Europe and Central Asia
,1955,45,49,40.4,49.4,46.3,9.2,2.3,1.0,0.6,4.94,4.64,0.27,0.03,144,Europe and Central Asia
,1955,50,54,41.1,49.1,46.0,8.7,2.2,0.9,0.6,4.86,4.57,0.26,0.03,125,Europe and Central Asia
,1955,55,59,45.0,47.2,45.6,6.9,1.5,0.8,0.5,4.56,4.33,0.20,0.03,107,Europe and Central Asia
,1955,60,64,43.9,48.1,46.5,7.2,1.5,0.8,0.5,4.66,4.43,0.21,0.03,78,Europe and Central Asia
,1955,65,69,48.2,45.3,41.5,5.6,0.9,0.9,0.5,4.18,3.99,0.16,0.03,67,Europe and Central Asia
,1955,70,74,48.2,45.3,41.5,5.6,0.9,0.9,0.5,4.18,3.99,0.16,0.03,50,Europe and Central Asia
,1955,75,+,48.2,45.3,36.8,5.6,0.7,0.9,0.5,3.99,3.80,0.16,0.03,59,Europe and Central Asia
,1955,25,+,37.7,52.6,46.7,8.6,2.2,1.1,0.6,5.04,4.75,0.26,0.03,1209,Europe and Central Asia
,1955,15,+,35.1,55.3,49.0,8.6,2.3,1.1,0.6,5.23,4.94,0.26,0.03,1551,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1960,15,19,24.3,74.8,74.8,0.9,0.1,0.1,0.0,6.08,6.05,0.02,0.00,141,Europe and Central Asia
,1960,20,24,9.3,60.0,54.1,26.3,11.9,4.4,1.7,8.08,7.02,0.94,0.12,161,Europe and Central Asia
,1960,25,29,24.2,57.6,46.1,16.1,5.5,2.1,1.2,6.19,5.60,0.52,0.07,173,Europe and Central Asia
,1960,30,34,23.6,61.8,51.2,12.8,4.1,1.8,1.0,6.16,5.69,0.41,0.06,170,Europe and Central Asia
,1960,35,39,33.7,55.9,49.6,9.3,2.7,1.1,0.7,5.37,5.05,0.28,0.04,162,Europe and Central Asia
,1960,40,44,34.1,56.4,50.0,8.6,2.5,1.0,0.6,5.31,5.02,0.26,0.03,102,Europe and Central Asia
,1960,45,49,34.4,56.9,53.6,7.8,2.1,0.9,0.6,5.38,5.12,0.23,0.03,127,Europe and Central Asia
,1960,50,54,40.4,49.4,46.6,9.2,2.4,1.0,0.6,4.95,4.65,0.27,0.03,137,Europe and Central Asia
,1960,55,59,41.1,49.1,47.7,8.7,1.9,0.9,0.5,4.92,4.64,0.25,0.03,117,Europe and Central Asia
,1960,60,64,45.0,47.2,45.9,6.9,1.5,0.8,0.5,4.57,4.34,0.20,0.03,98,Europe and Central Asia
,1960,65,69,47.9,45.0,41.4,6.1,1.0,1.0,0.6,4.23,4.02,0.18,0.03,68,Europe and Central Asia
,1960,70,74,47.9,45.0,41.4,6.1,1.0,1.0,0.6,4.23,4.02,0.18,0.03,54,Europe and Central Asia
,1960,75,+,47.9,45.0,36.7,6.1,0.8,1.0,0.6,4.04,3.84,0.18,0.03,60,Europe and Central Asia
,1960,25,+,35.5,53.5,47.8,9.8,2.6,1.2,0.7,5.27,4.93,0.30,0.04,1268,Europe and Central Asia
,1960,15,+,31.8,56.1,50.7,10.7,2.9,1.4,0.8,5.61,5.24,0.33,0.04,1570,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1965,15,19,21.1,77.1,77.1,1.7,0.2,0.1,0.0,6.35,6.31,0.04,0.00,180,Europe and Central Asia
,1965,20,24,9.3,60.0,54.1,26.3,11.9,4.4,1.7,8.08,7.02,0.94,0.12,138,Europe and Central Asia
,1965,25,29,9.3,60.0,54.1,26.3,11.9,4.4,2.5,8.10,7.02,0.94,0.14,158,Europe and Central Asia
,1965,30,34,24.2,57.6,46.1,16.1,5.5,2.1,1.2,6.19,5.60,0.52,0.07,169,Europe and Central Asia
,1965,35,39,23.6,61.8,52.9,12.8,4.0,1.8,1.1,6.22,5.76,0.41,0.06,166,Europe and Central Asia
,1965,40,44,33.7,55.9,47.8,9.3,2.9,1.1,0.7,5.30,4.98,0.29,0.04,157,Europe and Central Asia
,1965,45,49,34.1,56.4,51.3,8.6,2.4,1.0,0.6,5.36,5.07,0.26,0.03,98,Europe and Central Asia
,1965,50,54,34.4,56.9,51.8,7.8,2.2,0.9,0.6,5.31,5.05,0.24,0.03,121,Europe and Central Asia
,1965,55,59,40.4,49.4,46.3,9.2,2.1,1.0,0.6,4.94,4.64,0.26,0.03,129,Europe and Central Asia
,1965,60,64,41.1,49.1,46.0,8.7,2.0,0.9,0.6,4.86,4.57,0.25,0.03,107,Europe and Central Asia
,1965,65,69,47.6,44.7,39.7,6.7,1.2,1.0,0.6,4.23,3.99,0.20,0.03,86,Europe and Central Asia
,1965,70,74,47.6,44.7,39.7,6.7,1.2,1.0,0.6,4.23,3.99,0.20,0.03,56,Europe and Central Asia
,1965,75,+,47.6,44.7,35.2,6.7,0.9,1.0,0.6,4.04,3.81,0.19,0.03,67,Europe and Central Asia
,1965,25,+,31.8,54.5,47.9,12.0,3.5,1.7,1.0,5.61,5.19,0.38,0.05,1314,Europe and Central Asia
,1965,15,+,28.8,57.5,51.4,12.1,3.4,1.7,0.9,5.88,5.45,0.38,0.05,1632,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1970,15,19,17.8,76.8,76.8,5.4,0.7,0.1,0.0,6.70,6.58,0.12,0.00,182,Europe and Central Asia
,1970,20,24,2.3,42.7,40.7,47.3,27.9,7.8,3.1,9.77,7.74,1.81,0.22,167,Europe and Central Asia
,1970,25,29,9.3,60.0,54.1,26.3,11.9,4.4,2.5,8.09,7.02,0.94,0.14,128,Europe and Central Asia
,1970,30,34,9.3,60.0,54.1,26.3,11.9,4.4,2.5,8.10,7.02,0.94,0.14,153,Europe and Central Asia
,1970,35,39,24.2,57.6,46.1,16.1,5.5,2.1,1.3,6.19,5.60,0.52,0.07,166,Europe and Central Asia
,1970,40,44,23.6,61.8,49.5,12.8,4.4,1.8,1.1,6.09,5.62,0.42,0.06,162,Europe and Central Asia
,1970,45,49,33.7,55.9,47.5,9.3,2.9,1.1,0.7,5.29,4.97,0.29,0.03,154,Europe and Central Asia
,1970,50,54,34.1,56.4,48.0,8.6,2.7,1.0,0.6,5.23,4.94,0.26,0.03,96,Europe and Central Asia
,1970,55,59,34.4,56.9,49.9,7.8,2.0,0.9,0.5,5.23,4.97,0.23,0.03,117,Europe and Central Asia
,1970,60,64,40.4,49.4,43.3,9.2,2.4,1.0,0.6,4.82,4.52,0.27,0.03,122,Europe and Central Asia
,1970,65,69,47.2,44.3,36.8,7.3,1.5,1.1,0.7,4.18,3.92,0.22,0.04,97,Europe and Central Asia
,1970,70,74,47.2,44.3,36.8,7.3,1.5,1.1,0.7,4.18,3.92,0.22,0.04,73,Europe and Central Asia
,1970,75,+,47.2,44.3,32.7,7.3,1.1,1.1,0.7,4.01,3.76,0.21,0.04,73,Europe and Central Asia
,1970,25,+,29.4,55.1,46.6,13.6,4.3,2.0,1.2,5.81,5.31,0.44,0.06,1341,Europe and Central Asia
,1970,15,+,25.4,56.2,49.1,16.0,5.2,2.3,1.2,6.27,5.68,0.52,0.07,1690,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1975,15,19,14.2,75.7,75.7,10.0,1.4,0.0,0.0,7.09,6.86,0.23,0.00,166,Europe and Central Asia
,1975,20,24,2.3,42.7,40.7,47.3,27.9,7.8,3.1,9.77,7.74,1.81,0.22,182,Europe and Central Asia
,1975,25,29,2.3,42.7,40.7,47.3,27.9,7.8,4.4,9.80,7.74,1.81,0.24,166,Europe and Central Asia
,1975,30,34,9.3,60.0,54.1,26.3,11.9,4.4,2.5,8.10,7.02,0.94,0.14,127,Europe and Central Asia
,1975,35,39,9.3,60.0,54.1,26.3,11.9,4.4,2.7,8.10,7.02,0.94,0.14,153,Europe and Central Asia
,1975,40,44,24.2,57.6,46.1,16.1,5.5,2.1,1.3,6.19,5.60,0.52,0.07,165,Europe and Central Asia
,1975,45,49,23.6,61.8,52.5,12.8,4.0,1.8,1.1,6.21,5.74,0.41,0.06,160,Europe and Central Asia
,1975,50,54,33.7,55.9,47.5,9.3,2.9,1.1,0.7,5.29,4.97,0.29,0.03,150,Europe and Central Asia
,1975,55,59,34.1,56.4,49.5,8.6,2.2,1.0,0.6,5.28,5.00,0.25,0.03,93,Europe and Central Asia
,1975,60,64,34.4,56.9,49.9,7.8,2.0,0.9,0.5,5.23,4.97,0.23,0.03,110,Europe and Central Asia
,1975,65,69,34.6,57.4,47.7,7.2,1.4,0.8,0.5,5.07,4.84,0.20,0.03,111,Europe and Central Asia
,1975,70,74,34.6,57.4,47.7,7.2,1.4,0.8,0.5,5.07,4.84,0.20,0.03,82,Europe and Central Asia
,1975,75,+,34.6,57.4,42.3,7.2,1.1,0.8,0.5,4.85,4.63,0.20,0.03,89,Europe and Central Asia
,1975,25,+,23.1,56.4,48.6,17.8,6.1,2.7,1.6,6.50,5.84,0.58,0.08,1406,Europe and Central Asia
,1975,15,+,20.1,56.8,50.2,20.1,7.0,3.0,1.6,6.88,6.13,0.66,0.09,1754,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1980,15,19,10.5,76.9,76.9,12.6,2.1,0.0,0.0,7.46,7.16,0.29,0.00,157,Europe and Central Asia
,1980,20,24,1.3,29.4,27.1,60.1,42.7,9.3,3.8,10.49,7.81,2.43,0.26,172,Europe and Central Asia
,1980,25,29,2.3,42.7,40.7,47.3,27.9,7.8,4.6,9.80,7.74,1.81,0.25,181,Europe and Central Asia
,1980,30,34,2.3,42.7,40.7,47.3,27.9,7.8,4.6,9.80,7.74,1.81,0.25,155,Europe and Central Asia
,1980,35,39,9.3,60.0,54.1,26.3,11.9,4.4,2.8,8.10,7.02,0.94,0.14,132,Europe and Central Asia
,1980,40,44,9.3,60.0,54.1,26.3,11.9,4.4,2.8,8.10,7.02,0.94,0.14,154,Europe and Central Asia
,1980,45,49,24.2,57.6,46.1,16.1,5.5,2.1,1.3,6.19,5.60,0.52,0.07,165,Europe and Central Asia
,1980,50,54,23.6,61.8,49.5,12.8,4.4,1.8,1.1,6.09,5.62,0.42,0.06,155,Europe and Central Asia
,1980,55,59,33.7,55.9,46.1,9.3,2.7,1.1,0.6,5.23,4.91,0.28,0.03,145,Europe and Central Asia
,1980,60,64,34.1,56.4,46.6,8.6,2.4,1.0,0.6,5.17,4.88,0.26,0.03,80,Europe and Central Asia
,1980,65,69,34.4,56.9,44.5,7.8,1.7,0.9,0.5,5.01,4.76,0.23,0.03,109,Europe and Central Asia
,1980,70,74,34.4,56.9,44.5,7.8,1.7,0.9,0.6,5.01,4.76,0.23,0.03,95,Europe and Central Asia
,1980,75,+,34.4,56.9,39.5,7.8,1.3,0.9,0.5,4.80,4.55,0.22,0.03,107,Europe and Central Asia
,1980,25,+,19.9,54.7,46.4,22.0,8.4,3.4,2.1,6.93,6.08,0.74,0.11,1478,Europe and Central Asia
,1980,15,+,17.3,54.2,47.1,24.8,9.8,3.7,2.0,7.28,6.33,0.84,0.11,1807,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1985,15,19,6.5,78.3,78.3,15.2,2.5,0.0,0.0,7.84,7.48,0.35,0.00,150,Europe and Central Asia
,1985,20,24,1.3,29.4,27.1,60.1,42.7,9.3,4.0,10.50,7.81,2.43,0.27,157,Europe and Central Asia
,1985,25,29,1.3,29.4,27.1,60.1,42.7,9.3,5.7,10.53,7.81,2.43,0.30,172,Europe and Central Asia
,1985,30,34,2.3,42.7,40.7,47.3,27.9,7.8,4.9,9.81,7.74,1.81,0.25,181,Europe and Central Asia
,1985,35,39,2.3,42.7,40.7,47.3,27.9,7.8,5.3,9.82,7.74,1.81,0.26,156,Europe and Central Asia
,1985,40,44,9.3,60.0,54.1,26.3,11.9,4.4,3.0,8.10,7.02,0.94,0.15,132,Europe and Central Asia
,1985,45,49,9.3,60.0,54.1,26.3,11.9,4.4,2.9,8.10,7.02,0.94,0.14,153,Europe and Central Asia
,1985,50,54,24.2,57.6,46.1,16.1,5.5,2.1,1.4,6.19,5.60,0.52,0.07,163,Europe and Central Asia
,1985,55,59,23.6,61.8,51.0,12.8,3.7,1.8,1.1,6.14,5.68,0.40,0.06,151,Europe and Central Asia
,1985,60,64,33.7,55.9,46.1,9.3,2.7,1.1,0.7,5.23,4.91,0.28,0.04,139,Europe and Central Asia
,1985,65,69,34.1,56.4,44.1,8.6,1.9,1.0,0.6,5.06,4.78,0.25,0.03,74,Europe and Central Asia
,1985,70,74,34.1,56.4,44.1,8.6,1.9,1.0,0.6,5.06,4.78,0.25,0.03,95,Europe and Central Asia
,1985,75,+,34.1,56.4,39.1,8.6,1.4,1.0,0.6,4.86,4.59,0.24,0.03,125,Europe and Central Asia
,1985,25,+,16.8,51.7,44.5,27.3,11.5,4.2,2.7,7.45,6.37,0.95,0.14,1541,Europe and Central Asia
,1985,15,+,14.6,51.9,45.6,29.1,12.3,4.3,2.5,7.71,6.57,1.00,0.14,1848,Europe and Central Asia
,,,,,,,,,,,,,,,,
,1990,15,19,2.3,80.1,80.1,17.7,3.2,0.0,0.0,4.74,3.91,0.83,0.00,149,Europe and Central Asia
,1990,20,24,0.9,22.4,19.5,75.0,59.0,1.7,0.7,10.60,7.81,2.75,0.05,150,Europe and Central Asia
,1990,25,29,1.3,29.4,27.1,60.1,42.7,9.3,5.8,10.53,7.81,2.43,0.30,157,Europe and Central Asia
,1990,30,34,1.3,29.4,27.1,60.1,42.7,9.3,5.9,10.54,7.81,2.43,0.30,172,Europe and Central Asia
